DEPARTAMENTO,FECHA,EMPRESA_1,EMPRESA_2,EMPRESA_3,EMPRESA_4,EMPRESA_5,EMPRESA_6,EMPRESA_7,EMPRESA_8,EMPRESA_9,MONTO
AMAZONAS,03/08/2023,20600143051,,,,,,,,,"662,485.10"
AMAZONAS,21/06/2023,20542396297,20604775010,,,,,,,,"974,159.80"
AMAZONAS,16/06/2023,20542396297,20604775010,,,,,,,,"741,760.25"
AMAZONAS,04/04/2023,20601832811,20392307045,,,,,,,,"1,723,162.27"
AMAZONAS,04/04/2023,20561239542,,,,,,,,,"4,774,334.31"
AMAZONAS,06/03/2023,20600143051,,,,,,,,,"634,373.30"
AMAZONAS,20/12/2024,20560168994,20487976955,,,,,,,,"2,013,657.85"
AMAZONAS,20/12/2024,20487976955,,,,,,,,,"1,444,588.04"
AMAZONAS,20/12/2024,20560168994,20487976955,,,,,,,,"1,942,126.04"
AMAZONAS,20/12/2024,20570698304,20610241191,,,,,,,,"9,926,471.45"
AMAZONAS,12/12/2024,20487976955,20606918144,,,,,,,,"1,204,023.45"
AMAZONAS,03/12/2024,20480059850,,,,,,,,,"1,913,257.01"
AMAZONAS,28/11/2024,20487976955,20611111241,,,,,,,,"880,757.64"
AMAZONAS,28/11/2024,20487976955,20611111241,,,,,,,,"648,324.39"
AMAZONAS,28/11/2024,20487976955,,,,,,,,,"331,989.19"
AMAZONAS,28/11/2024,20487976955,,,,,,,,,"543,851.01"
AMAZONAS,28/11/2024,20487976955,,,,,,,,,"519,597.34"
AMAZONAS,27/11/2024,20479790303,20487499685,,,,,,,,"2,608,569.42"
AMAZONAS,27/11/2024,20517623394,20610381538,,,,,,,,"3,852,742.44"
AMAZONAS,30/10/2024,20600147600,20479808440,,,,,,,,"1,588,695.74"
AMAZONAS,17/09/2024,20601446741,20480836252,,,,,,,,"2,632,772.49"
AMAZONAS,11/09/2024,20491617439,20495931472,,,,,,,,"3,156,291.75"
AMAZONAS,02/09/2024,20600979192,20531455313,,,,,,,,"3,099,666.99"
AMAZONAS,01/08/2024,20487976955,20600197739,,,,,,,,"10,881,246.64"
AMAZONAS,24/07/2024,20561260070,20480113064,,,,,,,,"704,728.39"
AMAZONAS,22/07/2024,20480791305,20601832811,,,,,,,,"1,579,075.36"
AMAZONAS,18/07/2024,20600143051,,,,,,,,,"852,499.31"
AMAZONAS,08/07/2024,20607492337,20607214914,,,,,,,,"190,029.57"
AMAZONAS,25/06/2024,20510100604,20515869647,,,,,,,,"1,117,599.86"
AMAZONAS,13/06/2024,20488071603,20561239542,,,,,,,,"5,652,798.03"
AMAZONAS,11/06/2024,20491560496,20480123884,,,,,,,,"10,011,017.75"
AMAZONAS,10/04/2024,20600357248,10466648707,,,,,,,,"1,430,577.06"
ANCASH,15/12/2005,20530784275,,,,,,,,,"65,880.59"
ANCASH,23/11/2005,20530894291,,,,,,,,,"134,256.95"
ANCASH,07/11/2005,20227662108,,,,,,,,,"89,991.74"
ANCASH,31/10/2005,20445389201,,,,,,,,,"380,095.03"
ANCASH,26/09/2005,20108736659,10282902082,,,,,,,,"1,752,927.75"
ANCASH,26/09/2005,20530867561,,,,,,,,,"89,956.94"
ANCASH,21/09/2005,20530592520,,,,,,,,,"338,718.32"
ANCASH,07/09/2005,20530813399,,,,,,,,,"621,234.28"
ANCASH,06/09/2005,20530891438,,,,,,,,,"438,888.56"
ANCASH,02/09/2005,20364766999,,,,,,,,,"72,831.45"
ANCASH,02/09/2005,20488351398,,,,,,,,,"231,416.02"
ANCASH,23/08/2005,20505935251,,,,,,,,,"873,492.43"
ANCASH,15/08/2005,20453914268,,,,,,,,,"768,976.25"
ANCASH,04/08/2005,20530774806,,,,,,,,,"193,710.59"
ANCASH,13/06/2005,20364680687,,,,,,,,,"733,647.15"
ANCASH,30/05/2005,20406905226,,,,,,,,,"351,537.77"
ANCASH,05/05/2005,20445016358,,,,,,,,,"381,121.25"
ANCASH,04/05/2005,20449282729,,,,,,,,,"252,814.56"
ANCASH,28/04/2005,20530862250,,,,,,,,,"483,602.17"
ANCASH,06/04/2005,20358000348,,,,,,,,,"573,460.37"
ANCASH,06/04/2005,20489263123,,,,,,,,,"804,824.97"
ANCASH,04/04/2005,20165813996,,,,,,,,,"417,479.13"
ANCASH,04/04/2005,20530696902,,,,,,,,,"437,482.94"
ANCASH,14/11/2006,20163906661,20503574226,20440128557,,,,,,,"2,582,515.99"
ANCASH,13/11/2006,10157044414,,,,,,,,,"294,857.12"
ANCASH,31/10/2006,20484346659,,,,,,,,,"817,602.54"
